Date,State,District,Confirmed,Recovered,Deceased,Tested
2020-04-26,Maharashtra,Thane,738,125,14,0
2020-04-27,Maharashtra,Thane,752,129,14,0
2020-04-28,Maharashtra,Thane,824,132,14,0
2020-04-29,Maharashtra,Thane,882,163,14,0
2020-04-30,Maharashtra,Thane,943,172,16,0
2020-05-01,Maharashtra,Thane,1016,185,17,0
2020-05-02,Maharashtra,Thane,1086,196,18,0
2020-05-03,Maharashtra,Thane,1142,250,20,0
2020-05-04,Maharashtra,Thane,1238,285,21,0
2020-05-05,Maharashtra,Thane,1404,298,21,0
2020-05-06,Maharashtra,Thane,1616,352,21,0
2020-05-07,Maharashtra,Thane,1889,352,21,0
2020-05-08,Maharashtra,Thane,2053,359,21,0
2020-05-09,Maharashtra,Thane,2257,359,21,0
2020-05-10,Maharashtra,Thane,2448,369,21,0
2020-05-11,Maharashtra,Thane,2592,578,23,0
2020-05-12,Maharashtra,Thane,2814,578,25,0
2020-05-13,Maharashtra,Thane,3065,578,25,0
2020-05-14,Maharashtra,Thane,3287,630,36,0
2020-05-15,Maharashtra,Thane,3499,671,38,0
2020-05-16,Maharashtra,Thane,3834,766,47,0
2020-05-17,Maharashtra,Thane,4115,813,48,0
2020-05-18,Maharashtra,Thane,4402,872,57,0
2020-05-19,Maharashtra,Thane,4714,1066,74,0
2020-05-20,Maharashtra,Thane,4900,1103,79,0
2020-05-21,Maharashtra,Thane,5268,1172,81,0
2020-05-22,Maharashtra,Thane,5717,1229,84,0
2020-05-23,Maharashtra,Thane,6130,1532,85,0
2020-05-24,Maharashtra,Thane,6625,1592,87,0
2020-05-25,Maharashtra,Thane,6958,1929,93,0
2020-05-26,Maharashtra,Thane,7315,2137,126,0
2020-05-27,Maharashtra,Thane,7781,2224,149,0
2020-05-28,Maharashtra,Thane,8220,2300,155,0
2020-05-29,Maharashtra,Thane,8638,2729,172,0
2020-05-30,Maharashtra,Thane,9123,2973,182,0
2020-05-31,Maharashtra,Thane,9585,3400,200,0
2020-06-01,Maharashtra,Thane,9941,3637,215,0
2020-06-02,Maharashtra,Thane,10404,3732,230,0
2020-06-03,Maharashtra,Thane,10865,3992,240,0
2020-06-04,Maharashtra,Thane,11420,4179,254,0
2020-06-05,Maharashtra,Thane,11877,4445,292,0
2020-06-06,Maharashtra,Thane,12464,4686,322,0
2020-06-07,Maharashtra,Thane,13014,4836,331,0
2020-06-08,Maharashtra,Thane,13528,5081,336,0
2020-06-09,Maharashtra,Thane,14063,5218,355,0
2020-06-10,Maharashtra,Thane,14720,5706,378,0
2020-06-11,Maharashtra,Thane,15679,6234,398,0
2020-06-12,Maharashtra,Thane,16443,6645,413,0
2020-06-13,Maharashtra,Thane,17306,6818,425,0
2020-06-14,Maharashtra,Thane,18080,6871,434,0
2020-06-15,Maharashtra,Thane,18732,7890,480,0
2020-06-16,Maharashtra,Thane,19328,8363,641,0
2020-06-17,Maharashtra,Thane,20167,8591,642,0
2020-06-18,Maharashtra,Thane,21093,8988,673,0
2020-06-19,Maharashtra,Thane,22033,9284,675,0
2020-06-20,Maharashtra,Thane,23212,9284,675,0
2020-06-21,Maharashtra,Thane,24388,9575,716,0
2020-06-22,Maharashtra,Thane,25390,10102,732,0
2020-06-23,Maharashtra,Thane,26506,10766,751,0
2020-06-24,Maharashtra,Thane,27880,11778,773,0
2020-06-25,Maharashtra,Thane,29488,12424,810,0
2020-06-26,Maharashtra,Thane,30871,13094,816,0
2020-06-27,Maharashtra,Thane,32735,13802,819,96093
2020-06-28,Maharashtra,Thane,34257,14335,845,97985
2020-06-29,Maharashtra,Thane,36002,14656,871,100852
2020-06-30,Maharashtra,Thane,37630,15042,956,104569
2020-07-01,Maharashtra,Thane,39316,15621,1019,109340
2020-07-02,Maharashtra,Thane,41349,16443,1025,111540
2020-07-03,Maharashtra,Thane,43634,17227,1075,120002
2020-07-04,Maharashtra,Thane,45833,17851,1254,120002
2020-07-05,Maharashtra,Thane,47935,18156,1270,128925
2020-07-06,Maharashtra,Thane,49485,18672,1327,131969
2020-07-07,Maharashtra,Thane,50829,19459,1381,135279
2020-07-08,Maharashtra,Thane,52733,21252,1417,142536
2020-07-09,Maharashtra,Thane,54811,22821,1483,144329
2020-07-10,Maharashtra,Thane,57138,24624,1536,146859
2020-07-11,Maharashtra,Thane,59487,25829,1598,151259
2020-07-12,Maharashtra,Thane,61869,26489,1646,155239
2020-07-13,Maharashtra,Thane,63778,27642,1705,158964
2020-07-14,Maharashtra,Thane,65324,29548,1769,162382
2020-07-15,Maharashtra,Thane,67360,30820,1818,165881
2020-07-16,Maharashtra,Thane,69471,32742,1907,168967
2020-07-17,Maharashtra,Thane,71345,32912,1964,173083
2020-07-18,Maharashtra,Thane,73289,34017,1976,176174
2020-07-19,Maharashtra,Thane,75111,34686,2036,185447
2020-07-20,Maharashtra,Thane,76749,36676,2069,187348
2020-07-21,Maharashtra,Thane,78132,39816,2096,192743
2020-07-22,Maharashtra,Thane,79911,41584,2146,196267
2020-07-23,Maharashtra,Thane,81708,42657,2193,205418
2020-07-24,Maharashtra,Thane,83189,43777,2249,209356
2020-07-25,Maharashtra,Thane,84851,45874,2298,212652
2020-07-26,Maharashtra,Thane,86358,47837,2346,215543
2020-07-27,Maharashtra,Thane,87790,50932,2386,218501
2020-07-28,Maharashtra,Thane,88859,53384,2431,222893
2020-07-29,Maharashtra,Thane,90283,55250,2495,226860
2020-07-30,Maharashtra,Thane,91784,57335,2525,231795
2020-07-31,Maharashtra,Thane,93342,58836,2585,248002
2020-08-01,Maharashtra,Thane,94564,59991,2626,249563
2020-08-02,Maharashtra,Thane,96120,61516,2674,278098
2020-08-03,Maharashtra,Thane,97343,62448,2703,282574
2020-08-04,Maharashtra,Thane,98216,64850,2754,286687
2020-08-05,Maharashtra,Thane,99563,66333,2823,297675
2020-08-06,Maharashtra,Thane,100875,70983,2879,304295
2020-08-07,Maharashtra,Thane,101977,74579,2913,309695
2020-08-08,Maharashtra,Thane,103642,77737,2961,314665
2020-08-09,Maharashtra,Thane,104935,81095,3008,318865
2020-08-10,Maharashtra,Thane,105904,81888,3049,328392
2020-08-11,Maharashtra,Thane,106938,83161,3092,332391
2020-08-12,Maharashtra,Thane,108399,85427,3125,340527
2020-08-13,Maharashtra,Thane,109703,86923,3190,348573
2020-08-14,Maharashtra,Thane,110938,88638,3240,365000
2020-08-15,Maharashtra,Thane,112638,89795,3300,365000
2020-08-16,Maharashtra,Thane,113944,90326,3329,383188
2020-08-17,Maharashtra,Thane,114896,91726,3351,390378
2020-08-18,Maharashtra,Thane,115923,92981,3400,396368
2020-08-19,Maharashtra,Thane,117325,93778,3442,406820
2020-08-20,Maharashtra,Thane,118776,95175,3467,422212
2020-08-21,Maharashtra,Thane,120262,96677,3513,435352
2020-08-22,Maharashtra,Thane,121630,97491,3537,435352
2020-08-23,Maharashtra,Thane,122626,98693,3560,451728
2020-08-24,Maharashtra,Thane,123499,100570,3593,457622
2020-08-25,Maharashtra,Thane,124261,101715,3624,461221
2020-08-26,Maharashtra,Thane,126042,102374,3646,470430
2020-08-27,Maharashtra,Thane,127374,103463,3677,477919
2020-08-28,Maharashtra,Thane,128685,104627,3709,484600
2020-08-29,Maharashtra,Thane,129854,105842,3747,489866
2020-08-30,Maharashtra,Thane,131352,106598,3777,498683
2020-08-31,Maharashtra,Thane,132640,107455,3809,505258
2020-09-01,Maharashtra,Thane,133842,109132,3840,505258
2020-09-02,Maharashtra,Thane,135604,110746,3861,525559
2020-09-03,Maharashtra,Thane,137244,112232,3891,535777
2020-09-04,Maharashtra,Thane,139178,112952,3913,543091
2020-09-05,Maharashtra,Thane,140991,113785,3935,557007
2020-09-06,Maharashtra,Thane,143178,114272,3964,570254
2020-09-07,Maharashtra,Thane,144900,115210,3986,579359
2020-09-08,Maharashtra,Thane,146220,116359,4008,590775
2020-09-09,Maharashtra,Thane,148690,117055,4058,606074
2020-09-10,Maharashtra,Thane,150793,118240,4092,616352
2020-09-11,Maharashtra,Thane,152934,120127,4118,626819
2020-09-12,Maharashtra,Thane,154994,122091,4134,643118
2020-09-13,Maharashtra,Thane,156916,123222,4162,652819
2020-09-14,Maharashtra,Thane,158908,124330,4301,654657
2020-09-15,Maharashtra,Thane,160683,127082,4361,654657
2020-09-16,Maharashtra,Thane,162754,129517,4390,687971
2020-09-17,Maharashtra,Thane,164957,131216,4417,699865
2020-09-18,Maharashtra,Thane,166982,132611,4449,712390
2020-09-19,Maharashtra,Thane,168805,134702,4486,724822
2020-09-20,Maharashtra,Thane,170669,136485,4529,734603
2020-09-21,Maharashtra,Thane,172260,137934,4546,734603
2020-09-22,Maharashtra,Thane,173621,140141,4585,760536
2020-09-23,Maharashtra,Thane,175733,141631,4624,769227
2020-09-24,Maharashtra,Thane,177529,143117,4647,781513
2020-09-25,Maharashtra,Thane,179192,145140,4665,781513
2020-09-26,Maharashtra,Thane,180838,146520,4721,794506
2020-09-27,Maharashtra,Thane,182560,147831,4753,804456
2020-09-28,Maharashtra,Thane,184052,149755,4777,805968
2020-09-29,Maharashtra,Thane,185297,151385,4823,843294
2020-09-30,Maharashtra,Thane,187379,152984,4896,843613
2020-10-01,Maharashtra,Thane,189108,154314,4919,867967
2020-10-02,Maharashtra,Thane,190778,155308,4938,880804
2020-10-03,Maharashtra,Thane,192385,156807,4973,890121
2020-10-04,Maharashtra,Thane,193992,159538,5006,890121
2020-10-05,Maharashtra,Thane,195325,159738,5023,890121
2020-10-06,Maharashtra,Thane,196631,160577,5044,924686
2020-10-07,Maharashtra,Thane,198452,161616,5065,934395
2020-10-08,Maharashtra,Thane,199925,162641,5122,944837
2020-10-09,Maharashtra,Thane,201580,164710,5148,970863
2020-10-10,Maharashtra,Thane,203016,166471,5166,980727
2020-10-11,Maharashtra,Thane,204437,167165,5201,991068
2020-10-12,Maharashtra,Thane,205628,168313,5228,991068
2020-10-13,Maharashtra,Thane,206530,169754,5248,991068
2020-10-14,Maharashtra,Thane,207761,171560,5268,1031108
2020-10-15,Maharashtra,Thane,209123,173598,5295,1041260
2020-10-16,Maharashtra,Thane,210431,174836,5314,1041260
2020-10-17,Maharashtra,Thane,211606,176344,5197,1041260
2020-10-18,Maharashtra,Thane,212765,178071,5206,1061386
2020-10-19,Maharashtra,Thane,213700,179764,5211,1080320
2020-10-20,Maharashtra,Thane,214580,180953,5223,1087794
2020-10-21,Maharashtra,Thane,215679,182763,5238,1099940
2020-10-22,Maharashtra,Thane,216596,185937,5254,1111057
2020-10-23,Maharashtra,Thane,217477,188761,5258,1121167
2020-10-24,Maharashtra,Thane,218352,190375,5268,1130296
2020-10-25,Maharashtra,Thane,219086,191861,5274,1139451
2020-10-26,Maharashtra,Thane,219583,193474,5288,1139451
2020-10-27,Maharashtra,Thane,220237,194873,5292,1147230
2020-10-28,Maharashtra,Thane,221082,196151,5297,1164988
2020-10-29,Maharashtra,Thane,221770,197196,5316,1164988
2020-10-30,Maharashtra,Thane,222507,198597,5331,1183516
2020-10-31,Maharashtra,Thane,223197,199922,5337,1194637
2020-11-01,Maharashtra,Thane,223802,200617,5345,1203876
2020-11-02,Maharashtra,Thane,224300,201628,5352,1209414
2020-11-03,Maharashtra,Thane,224823,202665,5208,1220348
2020-11-04,Maharashtra,Thane,225470,203548,5219,1229625
2020-11-05,Maharashtra,Thane,226109,204690,5237,1229625
2020-11-06,Maharashtra,Thane,226720,206338,5251,1229625
2020-11-07,Maharashtra,Thane,227150,207069,5267,1229625
2020-11-08,Maharashtra,Thane,227772,207456,5292,1229625
2020-11-09,Maharashtra,Thane,228174,207456,5313,1229625
2020-11-10,Maharashtra,Thane,228538,208629,5319,1229625
2020-11-11,Maharashtra,Thane,229097,209674,5336,1229625
2020-11-12,Maharashtra,Thane,229669,210563,5349,1229625
2020-11-13,Maharashtra,Thane,230262,210954,5361,1229625
2020-11-14,Maharashtra,Thane,230850,211452,5380,1229625
2020-11-15,Maharashtra,Thane,231239,211833,5389,1229625
2020-11-16,Maharashtra,Thane,231569,212368,5394,1229625
2020-11-17,Maharashtra,Thane,231813,212900,5401,1229625
2020-11-18,Maharashtra,Thane,232411,213527,5406,1229625
2020-11-19,Maharashtra,Thane,233169,213776,5423,1229625
2020-11-20,Maharashtra,Thane,233866,214119,5436,1229625
2020-11-21,Maharashtra,Thane,234552,214423,5436,1229625
2020-11-22,Maharashtra,Thane,235188,214965,5436,1229625
2020-11-23,Maharashtra,Thane,235779,215280,5437,1229625
2020-11-24,Maharashtra,Thane,236390,215739,5437,1229625
2020-11-25,Maharashtra,Thane,237180,216349,5439,1229625
2020-11-26,Maharashtra,Thane,237984,216952,5442,1229625
2020-11-27,Maharashtra,Thane,238754,217642,5455,1229625
2020-11-28,Maharashtra,Thane,239598,218172,5303,1229625
2020-11-29,Maharashtra,Thane,240323,218617,5310,1229625
2020-11-30,Maharashtra,Thane,240788,219222,5317,1229625
2020-12-01,Maharashtra,Thane,241281,220125,5322,1229625
2020-12-02,Maharashtra,Thane,241858,221014,5329,1229625
2020-12-03,Maharashtra,Thane,242509,221977,5334,1229625
2020-12-04,Maharashtra,Thane,243147,222757,5342,1229625
2020-12-05,Maharashtra,Thane,243768,223638,5347,1229625
2020-12-06,Maharashtra,Thane,244292,224429,5364,1229625
2020-12-07,Maharashtra,Thane,244694,224874,5368,1229625
2020-12-08,Maharashtra,Thane,245159,225694,5368,1229625
2020-12-09,Maharashtra,Thane,245729,226352,5371,1229625
2020-12-10,Maharashtra,Thane,246229,227308,5377,1229625
2020-12-11,Maharashtra,Thane,246720,227835,5380,1229625
2020-12-12,Maharashtra,Thane,247212,228528,5396,1229625
2020-12-13,Maharashtra,Thane,247645,229796,5399,1229625
2020-12-14,Maharashtra,Thane,248028,230709,5404,1229625
2020-12-15,Maharashtra,Thane,248371,231626,5408,1229625
2020-12-16,Maharashtra,Thane,248621,232114,5414,1229625
2020-12-17,Maharashtra,Thane,248979,232600,5423,1229625
2020-12-18,Maharashtra,Thane,249436,233211,5475,1229625
2020-12-19,Maharashtra,Thane,249883,233744,5481,1229625
2020-12-20,Maharashtra,Thane,250285,234275,5495,1229625
2020-12-21,Maharashtra,Thane,250606,235260,5503,1229625
2020-12-22,Maharashtra,Thane,250980,235570,5509,1229625
2020-12-23,Maharashtra,Thane,251430,235961,5516,1229625
2020-12-24,Maharashtra,Thane,251880,236285,5527,1229625
2020-12-25,Maharashtra,Thane,252273,236428,5540,1229625
2020-12-26,Maharashtra,Thane,252629,236486,5547,1229625
2020-12-27,Maharashtra,Thane,253012,236714,5551,1229625
2020-12-28,Maharashtra,Thane,253308,236714,5556,1229625
2020-12-29,Maharashtra,Thane,253654,237735,5559,1229625
2020-12-30,Maharashtra,Thane,254074,238283,5573,1229625
2020-12-31,Maharashtra,Thane,254457,238593,5577,1229625
2021-01-01,Maharashtra,Thane,254875,238976,5586,1229625
2021-01-02,Maharashtra,Thane,255248,239389,5590,1229625
2021-01-03,Maharashtra,Thane,255678,239727,5593,1229625
2021-01-04,Maharashtra,Thane,259123,242566,5599,1229625
2021-01-05,Maharashtra,Thane,259515,243013,5604,1229625
2021-01-06,Maharashtra,Thane,260013,243683,5613,1229625
2021-01-07,Maharashtra,Thane,260493,244651,5619,1229625
2021-01-08,Maharashtra,Thane,261003,244968,5621,1229625
2021-01-09,Maharashtra,Thane,261425,245274,5631,1229625
2021-01-10,Maharashtra,Thane,261867,245561,5638,1229625
2021-01-11,Maharashtra,Thane,262173,246328,5642,1229625
2021-01-12,Maharashtra,Thane,262547,247020,5647,1229625
2021-01-13,Maharashtra,Thane,262987,247280,5657,1229625
2021-01-14,Maharashtra,Thane,263367,247733,5663,1229625
2021-01-15,Maharashtra,Thane,263696,248167,5669,1229625
2021-01-16,Maharashtra,Thane,264089,248748,5672,1229625
2021-01-17,Maharashtra,Thane,264447,249082,5679,1229625
2021-01-18,Maharashtra,Thane,264653,249304,5680,1229625
2021-01-19,Maharashtra,Thane,264979,250256,5683,1229625
2021-01-20,Maharashtra,Thane,265357,250898,5710,1229625
2021-01-21,Maharashtra,Thane,265663,251847,5711,1229625
2021-01-22,Maharashtra,Thane,265985,252390,5726,1229625
2021-01-23,Maharashtra,Thane,266299,252648,5738,1229625
2021-01-24,Maharashtra,Thane,266663,253118,5743,1229625
2021-01-25,Maharashtra,Thane,266917,253560,5748,1229625
2021-01-26,Maharashtra,Thane,267187,253836,5752,1229625
2021-01-27,Maharashtra,Thane,267467,254090,5755,1229625
2021-01-28,Maharashtra,Thane,267814,254312,5758,1229625
2021-01-29,Maharashtra,Thane,268146,254679,5761,1229625
2021-01-30,Maharashtra,Thane,268445,254944,5763,1229625
2021-01-31,Maharashtra,Thane,268728,255207,5763,1229625
2021-02-01,Maharashtra,Thane,268950,255682,5767,1229625
2021-02-02,Maharashtra,Thane,269172,256791,5768,1229625
2021-02-03,Maharashtra,Thane,269513,257236,5770,1229625
2021-02-04,Maharashtra,Thane,269786,257526,5770,1229625
2021-02-05,Maharashtra,Thane,270113,257776,5777,1229625
2021-02-06,Maharashtra,Thane,270421,258072,5777,1229625
2021-02-07,Maharashtra,Thane,270719,258268,5779,1229625
2021-02-08,Maharashtra,Thane,270941,258640,5781,1229625
2021-02-09,Maharashtra,Thane,271202,258922,5783,1229625
2021-02-10,Maharashtra,Thane,271605,259234,5785,1229625
2021-02-11,Maharashtra,Thane,271656,261548,5760,1229625
2021-02-12,Maharashtra,Thane,271985,261685,5750,1229625
2021-02-13,Maharashtra,Thane,272280,261919,5750,1229625
2021-02-14,Maharashtra,Thane,272679,262158,5750,1229625
2021-02-15,Maharashtra,Thane,272993,262349,5751,1229625
2021-02-16,Maharashtra,Thane,273317,262527,5759,1229625
2021-02-17,Maharashtra,Thane,273731,263254,5765,1229625
2021-02-18,Maharashtra,Thane,274264,263463,5772,1229625
2021-02-19,Maharashtra,Thane,274762,263731,5774,1229625
2021-02-20,Maharashtra,Thane,275313,263951,5775,1229625
2021-02-21,Maharashtra,Thane,275925,264132,5779,1229625
2021-02-22,Maharashtra,Thane,276404,264446,5779,1229625
2021-02-23,Maharashtra,Thane,276909,264920,5781,1229625
2021-02-24,Maharashtra,Thane,277580,265202,5795,1229625
2021-02-25,Maharashtra,Thane,278288,265564,5803,1229625
2021-02-26,Maharashtra,Thane,278966,265854,5805,1229625
2021-02-27,Maharashtra,Thane,279633,266139,5807,1229625
2021-02-28,Maharashtra,Thane,280332,266413,5812,1229625
2021-03-01,Maharashtra,Thane,280947,267030,5813,1229625
2021-03-02,Maharashtra,Thane,281608,267394,5817,1229625
2021-03-03,Maharashtra,Thane,282451,267793,5817,1229625
2021-03-04,Maharashtra,Thane,283230,268234,5823,1229625
2021-03-05,Maharashtra,Thane,283997,268558,5829,1229625
2021-03-06,Maharashtra,Thane,284811,268905,5831,1229625
2021-03-07,Maharashtra,Thane,285729,269570,5834,1229625
2021-03-08,Maharashtra,Thane,286351,270088,5835,1229625
2021-03-09,Maharashtra,Thane,287106,270894,5844,1229625
2021-03-10,Maharashtra,Thane,288237,271899,5847,1229625
2021-03-11,Maharashtra,Thane,289268,272559,5854,1229625
2021-03-12,Maharashtra,Thane,290530,273216,5861,1229625
2021-03-13,Maharashtra,Thane,291704,274212,5869,1229625
2021-03-14,Maharashtra,Thane,293052,274816,5873,1229625
2021-03-15,Maharashtra,Thane,294094,275507,5876,1229625
2021-03-16,Maharashtra,Thane,295494,276435,5878,1229625
2021-03-17,Maharashtra,Thane,297446,276884,5887,1229625
2021-03-18,Maharashtra,Thane,299285,277817,5889,1229625
2021-03-19,Maharashtra,Thane,301386,278730,5890,1229625
2021-03-20,Maharashtra,Thane,303465,279455,5891,1229625
2021-03-21,Maharashtra,Thane,306010,280296,5895,1229625
2021-03-22,Maharashtra,Thane,308401,281810,5897,1229625
2021-03-23,Maharashtra,Thane,311191,282741,5906,1229625
2021-03-24,Maharashtra,Thane,314280,283768,5914,1229625
2021-03-25,Maharashtra,Thane,317883,286804,5918,1229625
2021-03-26,Maharashtra,Thane,321358,287929,5924,1229625
2021-03-27,Maharashtra,Thane,324828,289121,5936,1229625
2021-03-28,Maharashtra,Thane,329102,290348,5943,1229625